,latitude,longitude
woodlands centre road,1.4429975,103.7708173
aye,1.3472507,103.63765490000002
paya lebar,1.3538993,103.887820526624
toa payoh,1.3353906,103.8497414
shenton way,1.2752631,103.8483973
teck whye avenue,1.3801319,103.7558789
1 am,1.3016908,103.8584213
pioneer rd,1.333736,103.6356217
anthony road,1.3104688,103.8376366
hillcrest road,1.3307332,103.807338
farrer road,1.3176276000000002,103.8077853
sentosa gateway,1.2652493,103.8238428
loyang ave,1.3604271,103.9614403
bury road,1.2819174,103.8014452
bishan street 13,1.3479953000000002,103.8499532
eng neo ave,1.3341615,103.7982651
jalan anak bukit,1.3445874,103.7749159
1 to airport boulevard,1.3539558,103.9872723
changi village,1.3886273,103.9871803
balestier road,1.3251788,103.8505499
and toh guan rd,1.3319522,103.7472197
tanjong katong road,1.3125645000000001,103.894164
lornie highway,1.3354118,103.8198884
lornie,1.3413851,103.8351673
clementi rd,1.3180421999999998,103.771614
balmoral park,1.3132062,103.8295209
mce,1.2774595,103.8702061
jalan bukit merah,1.2857345,103.8114062
mayflower avenue,1.3725923999999998,103.8391109
sle,1.4195471000000002,103.7688597
bayfront avenue,1.2781101,103.8565814
yishun central,1.4228997,103.8375688
hill street,1.2910001,103.8489707
jurong east ave 1,1.3458707,103.7318286
mandai road,1.4100334,103.7702838
paya lebar street,1.3389803,103.8855304
outram rd,1.2829218,103.8364585
thomson rd,1.3291996,103.8403031
fort road,1.295969,103.8852934
marine parade road,1.308991,103.9261074
turf club ave,1.4167234,103.7658334
sengkang east road,1.3979467,103.8953495
sims ave,1.3152331,103.8832721
tampines avenue 7,1.3568588,103.9432603
kramat rd,1.3018141,103.8412757
arab street,1.3002979,103.8599148
clemenceau avenue,1.298577,103.8436709
t3 arrival drive,1.354021,103.9868533
choa chu kang dr,1.3934284,103.7457284
woodsville,1.3268815,103.8699451
yishun avenue 2,1.4376191,103.833257
bukit timah expressway,1.4232371,103.7712944
still rd sth,1.3051761999999998,103.9102481
lorong halus,1.3816366000000002,103.9197662
yishun avenue 5,1.4305282,103.8327433
toh guan rd,1.3319522,103.7472197
tuas,1.3293722,103.6482364
pie jurong,1.3469958,103.7359476
river valley road,1.2917868,103.8455132
airport rd,1.3376284,103.8962049
buona vista,1.2924601999999998,103.7877731
changi airport,1.352516,103.986997279382
prinsep street,1.3012899,103.8510191
ang mo kio avenue 10,1.3702743,103.8568739
kaki bukit avenue 4,1.3378778999999998,103.90350440000002
newton circus,1.3128904,103.8396116
balestier rd,1.3251788,103.8505499
empress road,1.3172339,103.8063153
thomson road,1.3291996,103.8403031
woodlands,1.436897,103.786216
kranji expressway,1.3878391,103.7431503
sims way,1.3107893999999998,103.8757176
normanton,1.28817105,103.79217060992501
tuas south avenue 3,1.3065078,103.6257904
airport road,1.3376284,103.8962049
raffles avenue,1.2896326,103.8626578
penjuru road,1.3086406000000002,103.7337015
cte,1.339404,103.8619084
tuas avenue 1,1.3318342,103.650347
mandai ave,1.4142965,103.8068587
west coast way,1.3171946,103.7567962
bedok north rd,1.3306688999999998,103.9304093
jalan buroh,1.3045125,103.7425216
