DateTime,Event
2019-03-17 08:41:02,Accident on PIE (towards Changi Airport) before Lornie Rd. Avoid lane 3
2019-03-17 07:55:03,Accident on TPE (towards PIE) before Pasir Ris Dr 8 Exit. Avoid lane 3
2019-03-17 06:37:56,Accident on TPE (towards SLE) after Tampines Flyover
2019-03-17 05:25:03,Accident on Clementi Avenue 6 (towards Clementi Loop) after Clementi Loop. Avoid left lane
2019-03-17 04:44:52,Accident on PIE (towards Tuas) after Stevens Rd Exit. Avoid lane 1
2019-03-17 01:55:05,Accident on SLE (towards BKE) after Lentor Ave Exit. Avoid lanes 3 and 4
2019-03-17 00:45:17,Accident on PIE (towards Changi Airport) before BKE. Avoid lanes 1 and 2
2019-03-17 00:23:18,Accident on PIE (towards Changi Airport) before BKE. Avoid lane 1
2019-03-16 22:53:08,Accident on PIE (towards Tuas) at Paya Lebar Rd Exit
2019-03-16 22:39:38,Accident on PIE (towards Changi Airport) after Jalan Eunos with congestion till Paya Lebar Rd
2019-03-16 22:36:59,Heavy Traffic on PIE (towards Changi Airport) after Jalan Eunos
2019-03-16 22:30:27,Accident on PIE (towards Changi Airport) after Jalan Eunos with congestion till Paya Lebar Rd. Avoid lane 1
2019-03-16 22:28:21,Accident on PIE (towards Changi Airport) after Jalan Eunos. Avoid lane 1
2019-03-16 21:46:33,Accident on AYE (towards Tuas) before  Clementi Ave 6 Exit. Avoid lane 4
2019-03-16 21:44:53,Accident on AYE (towards Tuas ) after Clementi Ave 6 Exit. Avoid lane 4
2019-03-16 17:04:06,Obstacle on PIE (towards Changi Airport) after Bedok North Rd. Avoid lane 1
2019-03-16 14:48:37,Accident on PIE (towards Changi Airport) after Stevens Rd Exit. Avoid lane 1
2019-03-16 14:08:02,Obstacle on TPE (towards PIE) before Sengkang Exit. Avoid lane 5
2019-03-16 13:21:53,Obstacle on CTE (towards SLE) after Braddell Rd Exit. Avoid lane 5
2019-03-16 13:18:05,Obstacle on CTE (towards SLE) after AMK Ave 1 Exit. Avoid lanes 3 and 4
2019-03-16 13:12:10,Accident on BKE (towards Woodlands) before Woodlands Rd Exit. Avoid lane 1
2019-03-16 13:10:27,Accident on KPE (towards ECP) after Tampines Rd Exit. Avoid lane 1
2019-03-16 12:39:16,Accident on KPE (towards ECP) after Tampines Rd Exit. Avoid lane 2
2019-03-16 12:36:05,Accident on PIE (towards Changi Airport) at CTE(SLE) Exit
2019-03-16 12:28:30,Heavy Traffic on AYE (towards MCE) before Alexandra Rd Exit
2019-03-16 12:12:55,Accident on Clemenceau Avenue near Chin Swee Road/Clemenceau Avenue Junction
2019-03-16 11:49:43,Obstacle on TPE (towards SLE) after Tampines Rd Exit. Avoid lane 1
